SiteNo,GridNo,DeployDate,CollectionDate,GridClassification,UTM Coordinates 12U,UTM Coordinates mE,Check No,Check Date,Crew,Snow Depth Trail (cm),SnowDepthOffTrail (cm),SnowHardnessTrail (1-6),SnowHardnessOffTrail (1-6),PictureNo.,BattsChangedY/N,CameraRefusealY/N,Track Transet,CameraSiteInfo/Comments (Tracks/Sign/Disturbance/Change),SiteNo,Check Date,"PROBLEMS (DELETED SITE, MOVED SITE, TEMPORARY FAILURE)",KNOWN PERIOD OF MISSING DATA - START,KNOWN PERIOD OF MISSING DATA - END,TOTAL DAYS,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,1,23-Jan-12,JDE/LNO,26.5,31.0,2,2,91/92,N,N,SNHA,"On north side of creek, seismec all over, new sesimec every 50 meters approximately 2m from camera, camera will not be valuable no animal tracks",1,23-Jan-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,203,N,N,,Wolf scat on seismic line,1,18-Jun-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,700,Y,N,,Lynx scat on seismic line,1,15-Oct-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,369,N,,,Caribou track on sesimec line,1,24-Jun-13,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,216,Y,N,,"Caribou tracks on trail 30m to South 3D sesimec, no tracks obvious on game trail in front of camera",1,21-Oct-13,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,1,23-Jan-12,JDE/LNO,19.0,20.0,4,4,93,N,N,SNHA," Lead core road intersection in mossy saddle, mad seismic new line 5m from trail, with charges & cable activity destroying area, helicopter laying charges lots of bunnies no deer tracks, snow crust 6cm from the ground",2,23-Jan-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,207,N,N,,Wolf and lynx scat on seismic line,2,18-Jun-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,228,Y,N,,"Caribou and deer tracks where truck is parked, all deer going around camera on seismic line now",2,15-Oct-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,363,N,,,No comments,2,24-Jun-13,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,125,Y,N,Sign of trail usage but no tracks identifiable in th moss forest floor,"One set of caribou tracks on sesimic line10m from camera, returned October 25th 2013 put in new SD card forgot to do it on the previous visit",2,21-Oct-13,,,,0,
,,,23-Oct-14,,,,,,,,,,,,,,,,2,23-Oct-14,Temporary Failure,04-Feb-14,23-Oct-14,261,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,1,27-Jan-12,JDE/LNO,17.0,27.0,2,2,183,N,N,SNHA,"North of well site old growth, caribou tracks in area, not near camera on cutline/well pad ",3,27-Jan-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,210,N,N,,"Gate is now locked no turn around, wolf tracks on road",3,18-Jun-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,351,Y,N,,Caribou cow and calf tracks on well pad,3,15-Oct-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,227,N,,,"Fresh deer scat in camera range, bear tracks and scat nearby",3,24-Jun-13,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,84,Y,,Deer scat,Deer scat on trail,3,21-Oct-13,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,1,27-Jan-12,JDE/LNO,24.0,26.0,1,1,184/185,N,N,SNHA," Long trail along road small tree, Picture 184 blurry wolf tracks in area, 1 b/c no crust in here snow a bottom is mildly granular but no crust ",4,27-Jan-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,211,N,N,,No comments,4,18-Jun-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,504,Y,N,,No comments,4,15-Oct-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,483,N,,,No comments,4,24-Jun-13,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,125,Y,,No identifiable tracks but shows use,Heavily used trail,4,21-Oct-13,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,1,24-Jan-12,JDE/LNO,27.0,22.0,2,2,94/95,N,N,SNHA,"Fire Regeneration Aw stand, limited tracks barely visible no deer tracks in area ",5,24-Jan-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,222/223,N,N,Fresh deer tracks and scat,No comments,5,19-Jun-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,281,Y,N,,Deer scat on the way to site,5,16-Oct-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,181,N,,Fresh deer tracks on upper trail,No comments,5,26-Jun-13,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,183,Y,N,Little sign of activity,Deer tracks on road,5,22-Oct-13,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,1,24-Jan-12,JDE/LNO,18.0,21.0,3,3,96,N,N,UNDE/COYO/SNHA,"Along creek Pj stand, battery on drill died, less SNHA activity here, no confirmed deer tracks around",6,24-Jan-12,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,225/226,N,N,,New 3D seismic in area,6,19-Jun-12,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,215,Y,N,N/A,Camera still takes photos of seismic line,6,16-Oct-12,,,,0,
