Site,AREA.UplandDeciduous,AREA.UplandShrubs,AREA.Water,AREA.Nonforest,AREA.LowlandDeciduous,AREA.UplandMixedwood,AREA.LowlandMixedwood,AREA.UplandSpruce,AREA.LowlandSpruce,AREA.Pine,AREA.Tamarack,AREA.OpenWetland,PERCENTAGE.UplandDeciduous,PERCENTAGE.UplandShrubs,PERCENTAGE.Water,PERCENTAGE.Nonforest,PERCENTAGE.LowlandDeciduous,PERCENTAGE.UplandMixedwood,PERCENTAGE.LowlandMixedwood,PERCENTAGE.UplandSpruce,PERCENTAGE.LowlandSpruce,PERCENTAGE.Pine,PERCENTAGE.Tamarack,PERCENTAGE.OpenWetland,AREA.Cutblocks,AREA.Pipeline,AREA.TransmissionLine,AREA.WellSite,PERCENTAGE.Cutblocks,PERCENTAGE.Pipeline,PERCENTAGE.TransmissionLine,PERCENTAGE.WellSite,AREA.BlockFeatures,PERCENTAGE.BlockFeatures,AREA.Road,PERCENTAGE.Road,AREA.Trail,PERCENTAGE.Trail,AREA.3DSeismicLine,AREA.SeismicLine,PERCENTAGE.3DSeismicLine,PERCENTAGE.SeismicLine,Radius,Treatment
1,0,0,0,22158.54206,0,0,0,0,31463.6062,59597.43714,0,83129.16059,0,0,0,11.2852528,0,0,0,0,16.02428305,30.35272549,0,42.33733383,0,0,0,0,0,0,0,0,0,0,3836.567921,1.953947997,0,0,10297.12128,0,5.244280805,0,250,Pre
2,0,0,0,16004.38539,0,0,0,0,82459.14721,75231.43752,2302.155654,20351.60745,0,0,0,8.150966546,0,0,0,0,41.99609882,38.3150565,1.172478247,10.36498856,0,11436.10952,0,0,0,5.824362753,0,0,0,0,1368.726647,0.697086757,3077.801501,1.567511433,11758.22226,1517.478072,5.988413422,0.772845236,250,Pre
3,37722.12005,0,0,15976.23494,0,79500.90628,0,0,63112.26915,37.28152282,0,0,19.21171799,0,0,8.13662964,0,40.48947909,0,0,32.14281473,0.018987324,0,0,0,11168.71531,0,13626.27487,0,5.68818,0,6.939804804,0,0,0,0,6903.013616,3.515675965,3700.667361,4556.808335,1.88473441,2.320763428,250,Pre
4,0,0,0,28149.21312,0,0,20784.78726,0,20511.31998,107864.9853,0,19038.4437,0,0,0,14.33627652,0,0,10.58560523,0,10.44632949,54.93518589,0,9.696199758,0,17256.38766,0,0,0,8.788606068,0,0,0,0,0,0,6231.546149,3.173700393,0,186.575376,0,0.095022059,250,Pre
5,180567.4205,0,0,0,0,15781.29487,0,0,0,0,0,0,91.96223209,0,0,0,0,8.03734748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843.743581,2.466898349,0,0,0,1584.010758,0,0.806730055,250,Pre
6,0,0,0,6920.333914,0,0,0,0,5553.710242,183106.8418,0,767.7973061,0,0,0,3.524497121,0,0,0,0,2.8284814,93.25554873,0,0.391035957,0,12205.96087,0,0,0,6.216444823,0,0,0,0,5626.142866,2.865371032,1133.192397,0.577130149,6566.44343,0,3.344262177,0,250,Pre
7,0,0,0,12985.72552,0,0,0,0,69786.91047,113576.136,0,0,0,0,0,6.613575701,0,0,0,0,35.54218165,57.84385107,0,0,0,7429.045921,0,0,0,3.783582018,0,0,0,0,4209.20132,2.143728629,1803.616542,0.918574362,6604.417957,0,3.363602445,0,250,Pre
8,54894.77538,0,0,29234.59543,0,0,0,0,69980.62842,36357.1609,0,5881.526951,27.95767952,0,0,14.88905719,0,0,0,0,35.64084139,18.51655,0,2.995437079,0,20708.14941,0,9989.642529,0,10.54657389,0,5.087683162,0,0,0,0,5279.479908,2.688817038,4911.952142,0,2.501636684,0,250,Pre
9,0,0,0,53903.72084,0,0,0,0,34924.45732,92127.14753,0,15393.40498,0,0,0,27.45293959,0,0,0,0,17.78688006,46.91997095,0,7.839796779,0,8475.481839,0,0,0,4.316527455,0,0,30657.80403,15.61389138,6269.752853,3.193158907,0,0,0,0,0,0,250,Pre
10,53705.34233,0,0,47488.67469,0,0,0,23382.77915,18378.72914,53393.05952,0,0,27.35190625,0,0,24.18578342,0,0,0,11.90875163,9.360209891,27.19286192,0,0,0,11979.68348,0,0,0,6.101202696,0,0,0,0,6037.149904,3.074695198,912.1341669,0.464546117,219.0887905,0,0.111581005,0,250,Pre
