"treatment","site","radius","uplanddeciduous","uplandshrubs","water","nonforest","lowlanddeciduous","uplandmixedwood","lowlandmixedwood","uplandspruce","lowlandspruce","pine","tamarack","openwetland","cutblocks","pipeline","transmissionline","wellsite","blockfeatures","road","trail","seismic_3d","seismicline"
"Pre",1,250,0,0,0,11.2852528,0,0,0,0,16.02428305,30.35272549,0,42.33733383,0,0,0,0,0,1.953947997,0,5.244280805,0
"Pre",2,250,0,0,0,8.150966546,0,0,0,0,41.99609882,38.3150565,1.172478247,10.36498856,0,5.824362753,0,0,0,0.697086757,1.567511433,5.988413422,0.772845236
"Pre",3,250,19.21171799,0,0,8.13662964,0,40.48947909,0,0,32.14281473,0.018987324,0,0,0,5.68818,0,6.939804804,0,0,3.515675965,1.88473441,2.320763428
"Pre",4,250,0,0,0,14.33627652,0,0,10.58560523,0,10.44632949,54.93518589,0,9.696199758,0,8.788606068,0,0,0,0,3.173700393,0,0.095022059
"Pre",5,250,91.96223209,0,0,0,0,8.03734748,0,0,0,0,0,0,0,0,0,0,0,2.466898349,0,0,0.806730055
"Pre",6,250,0,0,0,3.524497121,0,0,0,0,2.8284814,93.25554873,0,0.391035957,0,6.216444823,0,0,0,2.865371032,0.577130149,3.344262177,0
"Pre",7,250,0,0,0,6.613575701,0,0,0,0,35.54218165,57.84385107,0,0,0,3.783582018,0,0,0,2.143728629,0.918574362,3.363602445,0
"Pre",8,250,27.95767952,0,0,14.88905719,0,0,0,0,35.64084139,18.51655,0,2.995437079,0,10.54657389,0,5.087683162,0,0,2.688817038,2.501636684,0
"Pre",9,250,0,0,0,27.45293959,0,0,0,0,17.78688006,46.91997095,0,7.839796779,0,4.316527455,0,0,15.61389138,3.193158907,0,0,0
"Pre",10,250,27.35190625,0,0,24.18578342,0,0,0,11.90875163,9.360209891,27.19286192,0,0,0,6.101202696,0,0,0,3.074695198,0.464546117,0.111581005,0
"Pre",12,250,57.41265433,0,0,0,0,0,0,29.6797739,5.700015066,7.20722971,0,0,0,5.684359977,0,0,0,2.427104774,0,3.692226363,1.681346182
"Pre",13,250,51.84423514,0,0,0,0,21.07920399,0,0,0,27.07612409,0,0,0,0,0,0,0,0,0,0.113561121,0
"Pre",14,250,0,0,0,5.066540404,0,0,0,0,81.00533287,5.133088835,8.794552661,0,0,5.658639044,0,6.662409743,0,0,0.077795011,5.992103345,0.570530065
"Pre",15,250,36.97994159,0,0.482268131,15.15266335,0,0,0,0,32.08645512,15.29832391,0,0,0,0,0,4.998198402,0,3.028628029,0,4.773141454,0.64791801
"Pre",16,250,0,0,0,11.31673716,0,0,0,9.569780958,20.89683594,51.11292051,0,7.103234184,0,0,0,5.081218595,0,2.979808626,0.275490626,7.301757697,0
"Pre",17,250,5.943156145,0,0,0,0,5.589480776,0,0,28.74647469,48.63609364,0,11.08441302,0,4.031406711,0,10.01945969,0,0,2.521129402,5.200225336,0
"Pre",18,250,48.82939923,0,0,10.62825359,0,0,0,0,37.2408183,0,3.301103543,0,0,0,6.686582798,0,0,3.313939788,0,0.475301211,0.71099044
"Pre",19,250,25.02239604,0,0,0,0,0,0,0,1.601647335,68.77034999,0,4.605160557,0,0,0,0.119450095,1.252579803,0,2.283065311,2.659254006,0
"Pre",20,250,15.44583498,0,0,0,0,7.533650754,0,46.75102052,29.49906271,0.769975083,0,0,0,0,0,0,12.06406437,0,2.871538256,0,0
"Pre",21,250,1.885135585,0,0,12.81589173,0,11.03985032,12.62277324,1.480691878,23.16676703,6.107121763,0,30.88127712,0,0,5.247903737,0,0,0,0.09406972,0,0
"Pre",22,250,0,0,0,8.734503885,0,6.562618475,0,0,34.69103177,50.01148151,0,0,0,5.870431348,0,0,0,1.974145595,0,0,1.194243892
"Pre",23,250,0.000888852,0,0,10.19166585,0,37.36157548,0,0,16.97556781,35.46992977,0,0,0,0,0,0,0,3.120387238,0,0,0.080859282
"Pre",24,250,0,3.111917951,0,9.530064338,0,0,0,0,23.97727506,49.57199617,4.181348664,9.627018598,0,0,0,0,0,2.403372434,0,0,0
"Pre",25,250,24.22363655,0,0,19.60103509,0,0,0,0,16.96542652,38.46066518,0.007043061,0.741759798,0,5.800270375,0,0,6.561070609,2.158514154,0,4.103632581,0
"Pre",26,250,17.15281372,0,0,0,0,7.207047953,0,0,58.9569698,8.867460906,0,7.815265261,0,5.018975583,0,0,0,0,2.884144205,0,0.50875552
"Pre",27,250,23.03561538,0,4.75299281,9.655029952,0,4.672214261,0,0.939651854,5.378794011,49.752239,0,1.813109955,0,3.764733513,0,3.308540027,0,0,4.684480109,0,0
"Pre",28,250,74.95317943,0,0,0,0,0,0,14.34444055,0,1.914659312,0,8.787252333,0,0,0,8.415874253,0,0,0.334959571,2.00071078,0.798950767
"Pre",29,250,50.86631211,0,0,0,0,0,0.110439592,0,18.14575201,20.45014818,5.836904999,4.590054829,0,4.461469387,0,0,0,0,3.226138173,2.979333864,0.222239987
"Pre",30,250,72.95510728,0,0,10.26946183,0,5.146527,0,0,11.62851335,0,0,0,10.03157165,0,0,0,0,0,2.45286622,0,0
"Pre",31,250,66.32714932,0,0,13.65273843,0,0,0,4.344843632,0,0,0,15.67486192,3.386180043,6.014219423,0,0,0,3.871905808,0,0,0.522639767
"Pre",32,250,0.883409572,0,0,26.92381863,0,0,0,54.93550335,9.43201,7.824860519,0,0,19.44785627,0,0,0,0,2.046560274,2.32576933,0,0
"Pre",33,250,9.513605087,0,0,6.905693087,0,60.53027129,0,0.041335639,22.665167,0,0.343565031,0,0,0.578772218,0,0,0,2.204240253,0,1.441636866,0
"Pre",34,250,5.869030727,0,0,5.753027451,0,0,0,0,0.769323767,61.15094995,19.15369597,7.303587556,0,3.037841776,0,0,0,1.83412877,0.3762908,1.221496892,0
"Pre",35,250,0,0,0,7.514551149,0,10.21088482,0,0,31.52720789,32.65064008,9.375932409,8.72044165,0,0,0,0,0,2.31840098,0,2.665736658,0
"Pre",36,250,55.3246186,0,0,6.157139587,0,0,0,0,35.60924853,2.908594506,0,0,0,0,0,0,0,2.457774744,0,0.524110683,0
"Pre",37,250,20.07331938,0,0,11.07500042,0,0.265163741,0,0,68.58612108,0,0,0,11.9936635,0,0,0.461237142,0,3.663814024,0.437782467,0,1.106146405
"Pre",38,250,29.17927253,11.965182,0,23.53039397,0,0,0,0,35.32479921,0,0,0,13.61155743,0,0,0,0,4.198933642,0,0,0.675015373
"Pre",39,250,27.11639044,0,7.718498949,13.3916145,0,0.060044787,0,7.080722918,2.385608992,0,0,42.24670777,0,5.10848266,0,0,0,2.397787699,0.03015466,0,0
"Pre",40,250,1.199298025,0,0,11.33583838,0,1.615869081,6.440495917,0,52.99923424,23.00082083,1.359329278,2.048691299,0,0,0,0,0,3.946326739,0,0,1.998931871
"Pre",41,250,0,7.624136616,0,16.20033264,0,28.99831543,1.376782113,22.8687263,22.93123608,0,0,0,18.01397416,0,0,0,0,2.344772912,0,0,1.156321137
"Pre",42,250,99.7721464,0,0,0.227310304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957392256
"Pre",43,250,68.92171272,0,0,10.69905434,10.61620039,0,0,8.029952082,0.037237424,0,0,1.695492295,38.11970593,0,0,0,0,2.296869978,0,0,1.101626716
"Pre",44,250,64.77508435,0,0,10.09438259,0,0,0,1.893055322,23.23698565,0,0,0,16.19427529,0,0,5.088037784,0,1.94136446,0,0,2.142768582
"Pre",45,250,75.75387216,0,0,10.63083213,0.318495412,1.528219311,0,0,11.76819119,0,0,0,34.2245127,2.878405094,0,0,0,2.187011179,0,0,0.842441641
"Pre",46,250,48.50974312,0,0,29.64226679,0,0.718430194,0,17.84795888,3.281224014,0,0,0,38.50088457,0,0,0,0,2.167353127,0,0,0
"Pre",47,250,44.48902971,0,0,7.873230315,0,3.098301766,0,0,22.6332564,21.90574587,0,0,18.02782079,0,0,0,0,1.518970048,0,0,0
"Pre",48,250,18.53124551,0,0,6.212639744,0,0.216179399,0,0,2.86050997,72.17901411,0,0,0,6.349840603,0,0,0,1.765437001,0,0,3.511063573
"Pre",49,250,53.06610302,0,0,40.18830935,0,0,0,0,6.741445978,0.0036766,0,0,28.68683102,0,0,0,0,2.46183781,1.449904563,0,1.972117193
